127.0.0.1 - - [13/Feb/2022:07:36:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/admin/membermanagement/membermanagement.do HTTP/1.1" 200 37358
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/css/header.css HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/css/admin/memberManagement.css HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/css/footer.css HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/css/font.css HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/js/jquery-1.12.4.js HTTP/1.1" 200 293430
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:40 +0900] "GET /team3/asset/images/logo1.png HTTP/1.1" 200 26995
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:42 +0900] "GET /team3/main.do HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/member/signup.do HTTP/1.1" 200 32027
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/css/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:47 +0900] "GET /team3/asset/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:36:58 +0900] "GET /team3/admin/membermanagement/product/productlist.do?category=%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4 HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:37:08 +0900] "GET /team3/admin/product/productlist.do?category=%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:37:11 +0900] "GET /team3/admin/product/productlist.do?category=%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:37:17 +0900] "GET /team3/product/productlist.do?category=%EB%8B%AD%EA%B0%80%EC%8A%B4%EC%82%B4 HTTP/1.1" 200 43834
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:37:17 +0900] "GET /team3/asset/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:07:37:17 +0900] "GET /team3/asset/css/header.css HTTP/1.1" 304 -
